Date,Open,High,Low,Close,Adj Close,Volume
22-02-2019,1035.5,1044,1030.300049,1041.599976,1018.259216,1298608
25-02-2019,1038,1055,1035.599976,1043,1019.627991,1691809
26-02-2019,1039,1041.900024,1016.049988,1038.349976,1015.082214,1906268
27-02-2019,1042.900024,1047.150024,1013.950012,1016.25,993.477417,1897310
28-02-2019,1018,1033.800049,1002.049988,1025.199951,1002.226746,5080712
01-03-2019,1031.900024,1036,1017.099976,1021.349976,998.463074,1967656
05-03-2019,1023.599976,1039.949951,1016.200012,1035,1011.807251,1577329
06-03-2019,1038,1060.900024,1028.300049,1055.949951,1032.287598,2758056
07-03-2019,1069,1069,1039,1043.300049,1019.921326,2584721
08-03-2019,1044.75,1059.550049,1037,1053.199951,1029.599365,2179863
11-03-2019,1058,1074.599976,1057.599976,1069.199951,1045.240845,2837644
12-03-2019,1074.949951,1095.949951,1072,1086.449951,1062.104126,3418782
13-03-2019,1087.400024,1093.900024,1065.099976,1078.300049,1054.136963,2024554
14-03-2019,1078.900024,1089,1063.150024,1086.349976,1062.00647,1193296
15-03-2019,1087,1113.800049,1082,1097.25,1072.662231,5318660
18-03-2019,1105,1108.900024,1092.099976,1099.800049,1075.155273,1525276
19-03-2019,1102,1112,1098.599976,1109.050049,1084.197998,1376594
20-03-2019,1111,1115,1098,1102.349976,1077.647949,1295061
22-03-2019,1103.599976,1124.400024,1093.699951,1102.550049,1077.84375,2486418
25-03-2019,1102,1106.5,1090.400024,1100.099976,1075.448486,909855
26-03-2019,1105,1120,1088.349976,1115.75,1090.747803,1851505
27-03-2019,1125,1125,1106,1116.5,1091.480957,1668427
28-03-2019,1120,1139.550049,1111.449951,1134.25,1108.833252,2292966
01-04-2019,1140,1148,1116.800049,1120.349976,1095.244629,1703651
02-04-2019,1125,1131.150024,1108.400024,1111.900024,1086.984009,1469173
03-04-2019,1117,1127.199951,1098.050049,1100.5,1075.8396,1553200
04-04-2019,1112.699951,1122.599976,1094.300049,1106.099976,1081.313965,2463998
05-04-2019,1123,1129.699951,1101.449951,1106.400024,1081.607178,4108366
08-04-2019,1109,1115,1092,1104.400024,1079.6521,1672293
09-04-2019,1109,1109.949951,1091.5,1098.550049,1073.933228,1288739
10-04-2019,1099.400024,1105,1083.5,1100.199951,1075.546143,1612236
11-04-2019,1106.949951,1106.949951,1090.099976,1105.050049,1080.287598,1412462
12-04-2019,1107,1107.949951,1094,1097,1072.417847,1499571
15-04-2019,1102,1102,1088,1090.150024,1065.721436,1116346
16-04-2019,1093.099976,1124.75,1092.400024,1120.050049,1094.951416,2144260
18-04-2019,1125.949951,1129.5,1113.5,1125.400024,1100.181763,1609911
22-04-2019,1125,1132,1119.099976,1123.699951,1098.519653,1307412
23-04-2019,1124,1136.699951,1120.050049,1129.550049,1104.238525,1237289
24-04-2019,1128,1152,1125.550049,1149.150024,1123.399414,1809133
25-04-2019,1155,1165,1135.400024,1141.300049,1115.725342,3579153
26-04-2019,1146.699951,1149.5,1131,1137.5,1112.010376,846570
30-04-2019,1140,1161.75,1133.5,1158.550049,1132.588745,1469889
02-05-2019,1159,1160,1135.599976,1138.150024,1112.645752,1517989
03-05-2019,1145,1154.800049,1135.050049,1145.050049,1119.391235,1146869
06-05-2019,1142.800049,1142.800049,1075.099976,1082.849976,1058.585083,4064781
07-05-2019,1097.800049,1105,1083,1086.5,1062.153076,2605643
08-05-2019,1090,1100,1067.849976,1088.699951,1064.303833,3336769
09-05-2019,1100,1110,1088.699951,1104.449951,1079.700806,4362293
10-05-2019,1108,1137.849976,1094.300049,1132.099976,1106.731201,3032624
13-05-2019,1125.300049,1152.800049,1124.050049,1144.699951,1119.04895,2695155
14-05-2019,1140,1163,1122.949951,1154.75,1128.873901,2894382
15-05-2019,1160,1167.5,1152.349976,1163,1136.938965,2476357
16-05-2019,1162.699951,1195,1159.949951,1186.449951,1159.863525,2948769
17-05-2019,1184,1203,1180,1190.5,1163.822754,3265842
20-05-2019,1214,1238,1205,1231.650024,1204.050781,2881354
21-05-2019,1239,1251.650024,1233.349976,1244.400024,1216.515015,3218291
22-05-2019,1245.949951,1250.900024,1226.349976,1241.099976,1213.288696,1972398
23-05-2019,1259.25,1262.800049,1216.25,1220.25,1192.906128,2494025
24-05-2019,1221,1229.949951,1194.449951,1219.900024,1192.563965,2423569
27-05-2019,1226.5,1243.5,1203.5,1240.949951,1213.142212,1380441
28-05-2019,1243,1244.900024,1222.699951,1231.550049,1203.953003,1811869
29-05-2019,1232,1237.699951,1224.199951,1234.650024,1206.983398,918488
30-05-2019,1234,1249.800049,1225,1240.599976,1212.800049,1081863
31-05-2019,1248,1250.650024,1227,1235.75,1208.058838,1213810
03-06-2019,1239,1269,1227.5,1266.25,1237.875244,1627758
04-06-2019,1267,1276.849976,1243.800049,1248,1220.034302,1378780
06-06-2019,1255,1273.650024,1244.650024,1269.449951,1241.003418,2345134
07-06-2019,1274.949951,1274.949951,1254,1268.949951,1240.514648,1381956
10-06-2019,1274.650024,1289.199951,1270,1277,1248.384399,1516266
11-06-2019,1278,1288,1266.800049,1284.949951,1256.15625,1782094
